old_sku;new_sku;vendor;name;kind;product;plan;term;unit;variant
JB-PLG-eggshell-IND;JB-ADD-EGGSHELL-IND-1Y-USER;JetBrains;JetBrains EggShell (личная);ADD;EGGSHELL;IND;1Y;USER;
JB-PLG-elasticsearch-ORG;JB-ADD-ELASTICSEARC-TEAM-1Y-USER;JetBrains;JetBrains Elasticsearch;ADD;ELASTICSEARC;TEAM;1Y;USER;
JB-PLG-elasticsearch-IND;JB-ADD-ELASTICSEARC-IND-1Y-USER;JetBrains;JetBrains Elasticsearch (личная);ADD;ELASTICSEARC;IND;1Y;USER;
JB-PLG-elasticsearch-log-ORG;JB-ADD-ELASTIL-TEAM-1Y-USER;JetBrains;JetBrains Elasticsearch Log;ADD;ELASTIL;TEAM;1Y;USER;
JB-PLG-elasticsearch-log-IND;JB-ADD-ELASTIL-IND-1Y-USER;JetBrains;JetBrains Elasticsearch Log (личная);ADD;ELASTIL;IND;1Y;USER;
JB-PLG-elixir-pro-ORG;JB-ADD-ELIXIRPRO-TEAM-1Y-USER;JetBrains;JetBrains Elixir Pro;ADD;ELIXIRPRO;TEAM;1Y;USER;
JB-PLG-elixir-pro-IND;JB-ADD-ELIXIRPRO-IND-1Y-USER;JetBrains;JetBrains Elixir Pro (личная);ADD;ELIXIRPRO;IND;1Y;USER;
JB-PLG-envswitch-ORG;JB-ADD-ENVSWITCH-TEAM-1Y-USER;JetBrains;JetBrains EnvSwitch;ADD;ENVSWITCH;TEAM;1Y;USER;
JB-PLG-envswitch-IND;JB-ADD-ENVSWITCH-IND-1Y-USER;JetBrains;JetBrains EnvSwitch (личная);ADD;ENVSWITCH;IND;1Y;USER;
JB-PLG-exceleditor-ORG;JB-ADD-EXCELEDITOR-TEAM-1Y-USER;JetBrains;JetBrains ExcelEditor;ADD;EXCELEDITOR;TEAM;1Y;USER;
JB-PLG-exceleditor-IND;JB-ADD-EXCELEDITOR-IND-1Y-USER;JetBrains;JetBrains ExcelEditor (личная);ADD;EXCELEDITOR;IND;1Y;USER;
JB-PLG-extensions-manager-ORG;JB-ADD-EXTENSM-TEAM-1Y-USER;JetBrains;JetBrains Extensions Manager;ADD;EXTENSM;TEAM;1Y;USER;
JB-PLG-extensions-manager-IND;JB-ADD-EXTENSM-IND-1Y-USER;JetBrains;JetBrains Extensions Manager (личная);ADD;EXTENSM;IND;1Y;USER;
JB-PLG-extra-ide-tweaks-ORG;JB-ADD-EXTRAIT-TEAM-1Y-USER;JetBrains;JetBrains Extra IDE Tweaks;ADD;EXTRAIT;TEAM;1Y;USER;
JB-PLG-extra-ide-tweaks-IND;JB-ADD-EXTRAIT-IND-1Y-USER;JetBrains;JetBrains Extra IDE Tweaks (личная);ADD;EXTRAIT;IND;1Y;USER;
JB-PLG-extra-icons-ORG;JB-ADD-EXTRAICONS-TEAM-1Y-USER;JetBrains;JetBrains Extra Icons;ADD;EXTRAICONS;TEAM;1Y;USER;
JB-PLG-extra-icons-IND;JB-ADD-EXTRAICONS-IND-1Y-USER;JetBrains;JetBrains Extra Icons (личная);ADD;EXTRAICONS;IND;1Y;USER;
JB-PLG-extra-toolwindow-colorful-icons-ORG;JB-ADD-EXTRATCI-TEAM-1Y-USER;JetBrains;JetBrains Extra ToolWindow Colorful Icons;ADD;EXTRATCI;TEAM;1Y;USER;
JB-PLG-extra-toolwindow-colorful-icons-IND;JB-ADD-EXTRATCI-IND-1Y-USER;JetBrains;JetBrains Extra ToolWindow Colorful Icons (личная);ADD;EXTRATCI;IND;1Y;USER;
JB-PLG-extra-tools-pack-ORG;JB-ADD-EXTRATP-TEAM-1Y-USER;JetBrains;JetBrains Extra Tools Pack;ADD;EXTRATP;TEAM;1Y;USER;
JB-PLG-extra-tools-pack-IND;JB-ADD-EXTRATP-IND-1Y-USER;JetBrains;JetBrains Extra Tools Pack (личная);ADD;EXTRATP;IND;1Y;USER;
JB-PLG-extract-hardcoded-strings-only-ORG;JB-ADD-EXTRACHSO-TEAM-1Y-USER;JetBrains;JetBrains Extract Hardcoded Strings Only;ADD;EXTRACHSO;TEAM;1Y;USER;
